Name,Client,Effort,Estimated Fix Time,Finding,Impact,Impact Area,Include in Report,Notes,Recommendation,Screencast URL,Screenshot,Section,Shopify Fix Complexity,Status
Post-Purchase Page: Is the Thank You page clear about what happens next?,,Low,< 30 min,"The Thank You page does not explain next steps, leaving customers uncertain.",Medium,Trust,No,,"Customize the Order Confirmation page with a thank you note, delivery timeline, and contact info",,,Checkout,Shopify Admin,TBD
Above-the-Fold CTA: Is the Add to Cart button visible without scrolling?,,Medium,1-2 hrs,"The Add to Cart button is not visible without scrolling, reducing impulse purchases.",High,Conversion Rate,No,,Adjust page layout or reduce white space to pull the CTA above the fold,,,Product Page,Custom Code,TBD
Abandoned Checkout Recovery: Is automated abandoned checkout email or SMS enabled?,,Low,< 30 min,"Abandoned checkout recovery is not enabled, leaving recoverable revenue on the table.",High,Cart Abandonment,No,,Enable abandoned checkout emails under Settings then Notifications,,,Checkout,Shopify Admin,TBD
High-Res Images: Can users zoom in or see high-quality product details?,,Low,< 30 min,Users cannot zoom in or view high-quality product details.,Medium,Conversion Rate,No,,Upload images at 2048x2048px and enable zoom in theme settings,,,Product Page,Theme Setting,TBD
"Checkout Branding: Does the checkout page reflect the brand (logo, colors, banner)?",,Low,< 30 min,"The checkout page lacks brand identity, reducing trust and brand cohesion.",Low,Trust,No,,Customize the checkout page via Settings then Checkout then Customize checkout,,,Checkout,Shopify Admin,TBD
Grid Consistency: Do all product images share the same aspect ratio?,,Low,< 30 min,"Product images have inconsistent aspect ratios, creating a broken grid.",Medium,Bounce Rate,No,,Enable image cropping and aspect ratio enforcement in theme settings,,,Collection Page,Theme Setting,TBD
Error Handling: Are validation error messages clearly highlighted and actionable?,,Low,1-2 hrs,"Error messages are not clearly highlighted, causing confusion during checkout.",Medium,Cart Abandonment,No,,Adjust theme styling to ensure error states are high-contrast and descriptive,,,Checkout,Custom Code,TBD
Quick Add / View: Can users add to cart without leaving the collection page?,,Low,< 30 min,There is no way to add to cart without leaving the collection page.,High,Conversion Rate,No,,Enable Quick Add or Quick View buttons on product cards,,,Collection Page,Theme Setting,TBD
Order Summary Toggle (Mobile): Is the total price easy to view on mobile?,,Low,< 30 min,The order total is difficult to view on mobile without expanding the order summary.,Low,Cart Abandonment,No,,Ensure the order summary is expanded or clearly tappable on mobile,,,Checkout,Shopify Admin,TBD
Price Visibility: Are sale prices clearly distinguished from regular prices?,,Low,1-2 hrs,Sale prices are not clearly distinguished from regular prices.,Low,Conversion Rate,No,,Style compare-at prices with a strikethrough and contrasting color,,,Collection Page,Custom Code,TBD
Auto-fill Support: Are checkout form fields optimized for browser auto-fill?,,Low,1-2 hrs,"Checkout is not optimized for auto-fill, slowing down the purchase process.",Medium,Cart Abandonment,No,,Standardize form field names and labels to ensure browser auto-fill functions correctly,,,Checkout,Custom Code,TBD
Secondary Hover Image: Does hovering over a product card reveal a second image?,,Low,< 30 min,Hovering over product cards does not reveal a second image.,Medium,Conversion Rate,No,,Enable Show second image on hover in product card settings,,,Collection Page,Theme Setting,TBD
Express Checkout: Are Shop Pay and Apple Pay buttons prominent above the fold?,,Low,< 30 min,"Shop Pay and Apple Pay buttons are not prominent, missing a significant one-tap checkout opportunity.",High,Cart Abandonment,No,,Enable Accelerated Checkouts under Settings then Payments,,,Checkout,Shopify Admin,TBD
Product Count: Does the page show the number of items in the collection?,,Low,< 30 min,Page does not show how many items are in the collection.,Low,Bounce Rate,No,,Add a Showing X products Liquid tag to the collection header,,,Collection Page,Custom Code,TBD
Breadcrumb Progress: Does the user know which checkout step they are on?,,Low,< 30 min,"Users cannot see their current stage in checkout, increasing anxiety and drop-off.",Low,Cart Abandonment,No,,Enable the standard Shopify checkout progress indicator,,,Checkout,Shopify Admin,TBD
"Sorting Options: Are sorting controls (Price, Newest, Best Selling) available?",,Low,< 30 min,"Sorting controls are missing, making it hard for users to find the right product.",Low,Conversion Rate,No,,Enable the sorting dropdown in collection template settings,,,Collection Page,Theme Setting,TBD
Guest Checkout: Can users check out without creating an account?,,Low,< 30 min,"Users are required to create an account to check out, significantly increasing drop-off.",Medium,Cart Abandonment,No,,Set Customer Accounts to Optional in Shopify Admin under Settings then Checkout,,,Checkout,Shopify Admin,TBD
Active Filters: Is it immediately clear which filters are currently applied?,,Low,1-2 hrs,It is not clear which filters are currently applied.,Low,Conversion Rate,No,,Add Active Filter tags with an X to remove individual filters,,,Collection Page,Custom Code,TBD
Sticky CTA (Mobile): Does the checkout button remain visible as users scroll the cart?,,Low,1-2 hrs,"The checkout button is not sticky on mobile, requiring users to scroll back to proceed.",Medium,Cart Abandonment,No,,Add a sticky checkout button to the cart drawer or page on mobile,,,Cart,Custom Code,TBD
"Filter Logic: Are filters (Size, Color, etc.) collapsible on mobile?",,Low,1-2 hrs,"Filters are not collapsible on mobile, crowding the screen.",Medium,Conversion Rate,No,,Use Shopify Search and Discovery app to optimize and collapse filters on mobile,,,Collection Page,App Install,TBD
Upsells / Cross-sells: Are there relevant add-on product suggestions in the cart?,,Medium,1-2 hrs,"There are no product suggestions in the cart, missing upsell revenue.",Medium,AOV,No,,"Install a cart upsell app (e.g., Candy Rack, ReConvert) or enable product recommendations",,,Cart,App Install,TBD
Breadcrumbs: Can users navigate back to the previous category?,,Low,< 30 min,Users cannot easily navigate back to the previous category.,Medium,Bounce Rate,No,,Install a breadcrumb snippet or enable breadcrumbs in theme settings,,,Collection Page,Theme Setting,TBD
Free Shipping Bar: Is there a progress bar showing how close the user is to free shipping?,,Low,< 30 min,"There is no free shipping progress bar, missing a high-impact AOV lever.",High,AOV,No,,Install a free shipping progress bar app or add custom Liquid logic,,,Cart,App Install,TBD
Clear Titles: Does the collection H1 clearly describe what is being sold?,,Low,< 30 min,The collection H1 does not clearly describe what is being sold.,Low,SEO,No,,Ensure collection titles are descriptive and SEO-friendly,,,Collection Page,Shopify Admin,TBD
Shipping Calculator: Does the cart estimate shipping costs before checkout?,,Medium,1-2 hrs,"The cart does not estimate shipping costs, leading to abandoned checkouts from unexpected fees.",Medium,Cart Abandonment,No,,Add a shipping rate calculator block to the cart page or drawer,,,Cart,App Install,TBD
404 Page: Does the 404 error page provide clear navigation options?,,Low,< 30 min,"The 404 page does not provide navigation options, causing dead ends.",Low,Bounce Rate,No,,Edit 404.json template to include a Continue Shopping button,,,General,Theme Setting,TBD
Trust Badges: Are payment provider icons and secure checkout badges visible in the cart?,,Low,< 30 min,"Payment icons and secure badges are not visible in the cart, reducing trust at a critical moment.",Low,Trust,No,,"Add payment provider icons (Visa, Mastercard, Shop Pay, etc.) to the cart footer",,,Cart,Theme Setting,TBD
Social Links: Do social icons open in a new tab?,,Low,< 30 min,"Social icons do not open in a new tab, navigating users away from the store.",Low,Bounce Rate,No,,Add target=_blank to social media icon links,,,General,Custom Code,TBD
Discount Field: Is it obvious where to enter a discount code?,,Low,< 30 min,"It is not clear where to enter a discount code, causing customer frustration.",Low,Cart Abandonment,No,,Add a note that discount codes can be applied at checkout,,,Cart,Theme Setting,TBD
Footer Policies: Are legal and policy pages easy to find in the footer?,,Low,< 30 min,"Legal and policy pages are difficult to find, reducing buyer trust.",Low,Trust,No,,Add a Policies menu to the footer section,,,General,Shopify Admin,TBD
Empty State: Does an empty cart suggest products to browse?,,Low,1-2 hrs,"An empty cart does not suggest products, creating a dead end.",Low,Conversion Rate,No,,Add a Recommended Products or Continue Shopping section to the cart-empty template,,,Cart,Custom Code,TBD
Tap Targets: Are all buttons and links at least 44x44px on mobile?,,Low,1-2 hrs,"Buttons or links are smaller than 44x44px, causing tap errors on mobile.",Medium,Conversion Rate,No,,Add padding to mobile navigation and buttons via CSS,,,General,Custom Code,TBD
Quantity Adjustment: Can users change item quantities directly in the cart?,,Low,< 30 min,Users cannot change quantities directly in the cart.,Low,Cart Abandonment,No,,Add plus and minus quantity buttons to cart line items,,,Cart,Theme Setting,TBD
Readability: Is the body text at least 16px?,,Low,< 30 min,"Body text is smaller than 16px, reducing readability.",Low,Bounce Rate,No,,Update global typography settings in the theme editor,,,General,Theme Setting,TBD
"Order Summary: Are product names, variants, and quantities clearly shown in the cart?",,Low,< 30 min,"Product names and variants are not clearly displayed in the cart, causing confusion.",Low,Cart Abandonment,No,,"Ensure line item properties (name, variant, qty) are visible in the cart template",,,Cart,Custom Code,TBD
Typography Hierarchy: Is there a clear visual difference between heading levels?,,Low,< 30 min,"There is no clear visual difference between heading levels, reducing scannability.",Medium,Bounce Rate,No,,Adjust CSS font-weights and sizes for H1 vs H2 vs body,,,General,Theme Setting,TBD
Cart Trigger: Does the cart open automatically as a drawer when an item is added?,,Low,< 30 min,"Cart does not open automatically upon adding an item, reducing conversion momentum.",Medium,Cart Abandonment,No,,Enable Drawer or Slide-out Cart in theme cart settings,,,Cart,Theme Setting,TBD
Logo Link: Does clicking the logo return the user to the homepage?,,Low,< 30 min,Clicking the logo does not return the user to the homepage.,Low,Bounce Rate,No,,Verify link destination in header.liquid,,,General,Theme Setting,TBD
Inventory Urgency: Is low-stock messaging (Only X left) surfaced to the user?,,Low,1-2 hrs,"Low-stock messaging is not surfaced, missing an opportunity to create purchase urgency.",Medium,Conversion Rate,No,,Add a low-stock Liquid snippet near the CTA when inventory is low,,,Product Page,Custom Code,TBD
Predictive Search: Does the search suggest products and collections?,,Low,< 30 min,"Search does not suggest products or collections, slowing product discovery.",High,Conversion Rate,No,,Enable Shopify Predictive Search in theme settings,,,General,Shopify Admin,TBD
User Reviews: Is there a photo review section below the product details?,,Low,< 30 min,"There is no photo review section, reducing buyer confidence.",Medium,Trust,No,,Enable photo uploads in the review app settings,,,Product Page,App Install,TBD
Search Visibility: Is the search bar clearly visible on mobile?,,Low,< 30 min,"Search bar is not clearly visible on mobile, increasing friction for product discovery.",Medium,Conversion Rate,No,,Adjust header layout to show a search bar (not just an icon) on mobile,,,General,Theme Setting,TBD
Social Proof: Are star ratings and review counts visible near the product title?,,Low,< 30 min,"Star ratings are not visible near the product title, reducing social proof.",High,Trust,No,,Install a review app and add the star rating snippet near the product title,,,Product Page,App Install,TBD
Sticky Header: Does the header remain visible on scroll-up?,,Low,< 30 min,"Header does not remain visible on scroll-up, making navigation difficult.",Medium,Bounce Rate,No,,"Enable ""Sticky Header"" in theme settings",,,General,Theme Setting,TBD
Description Tabs: Is long product information organized into collapsible accordions?,,Low,< 30 min,"Long product info is not organized into accordions, creating an overwhelming wall of text.",Medium,Bounce Rate,No,,"Use theme blocks to create collapsible info sections for Details, Shipping, and Care",,,Product Page,Theme Setting,TBD
Value Props: Are shipping and returns info displayed near the CTA?,,Low,< 30 min,"Shipping and returns info is not displayed near the CTA, reducing buyer confidence.",Medium,Trust,No,,Add a Shipping and Returns accordion or icon block near the CTA,,,Product Page,Theme Setting,TBD
Price Placement: Is the price positioned immediately above the Add to Cart button?,,Low,< 30 min,"The price is not positioned near the CTA, breaking the decision-making flow.",Low,Conversion Rate,No,,Rearrange product blocks so price appears directly above Add to Cart,,,Product Page,Theme Setting,TBD
